Region,Month,Year,Rate
Citywide,March,2016,4.5
Citywide,April,2016,4.7
Citywide,May,2016,4.7
Citywide,June,2016,4.8
Citywide,July,2016,3.6
Citywide,August,2016,4.2
Citywide,September,2016,4.4
Citywide,October,2016,4.5
Citywide,November,2016,4.4
Citywide,December,2016,4.4
Citywide,January,2017,4.3
Citywide,February,2017,4.2
Citywide,March,2017,4.3
Citywide,April,2017,4.3
Citywide,May,2017,4.3
Citywide,June,2017,4.4
Citywide,July,2017,3.3
Citywide,August,2017,3.9
Citywide,September,2017,4.1
Citywide,October,2017,4.1
Citywide,November,2017,4.1
Citywide,December,2017,4.2
Citywide,January,2018,4.2
Citywide,February,2018,4.2
Citywide,March,2018,4.2
Citywide,April,2018,4.3
Citywide,May,2018,4.2
Citywide,June,2018,4.3
Citywide,July,2018,2.4
Citywide,August,2018,2.5
Citywide,September,2018,2.6
Citywide,October,2018,2.9
Citywide,November,2018,2.9
Citywide,December,2018,2.9
Citywide,January,2019,3
Citywide,February,2019,3
Citywide,March,2019,3
Citywide,April,2019,3.1
Citywide,May,2019,3.2
Citywide,June,2019,3.2
Citywide,August,2019,3.9
Citywide,July,2019,4.6
Citywide,September,2019,3.8
Citywide,October,2019,4
Citywide,November,2019,4
Citywide,December,2019,3.8
Citywide,January,2020,3.7
Citywide,February,2020,3.7
Citywide,March,2020,3.5
Citywide,April,2020,3.4